iter	Logloss
0	0.689211349
1	0.6853142454
2	0.6827809295
3	0.6798613699
4	0.6761990374
5	0.6723534657
6	0.6698115834
7	0.6663031327
8	0.6628732514
9	0.6590684143
10	0.6560795656
11	0.6523463824
12	0.6489239966
13	0.6454306262
14	0.6423686959
15	0.6410774989
16	0.6384726184
17	0.6356186002
18	0.6333513762
19	0.6304373936
20	0.6272177891
21	0.6254014578
22	0.6227507117
23	0.6209029705
24	0.6182493689
25	0.6154316685
26	0.6138203939
27	0.6113928187
28	0.6105056673
29	0.6076716373
30	0.6047864769
31	0.6031639144
32	0.6011100457
33	0.5985624079
34	0.5967628524
35	0.5941598903
36	0.5917569434
37	0.5895999217
38	0.5876067758
39	0.5859014946
40	0.5839141935
41	0.5815463596
42	0.580103824
43	0.5787237959
44	0.5764720538
45	0.5748343217
46	0.5728550515
47	0.5708174231
48	0.5689556278
49	0.567154823
50	0.5651698419
51	0.563631292
52	0.5617110046
53	0.5602467855
54	0.5591952229
55	0.5580252486
56	0.5565338135
57	0.5547554953
58	0.5532065944
59	0.5514472381
60	0.5498129415
61	0.5483635796
62	0.5469140839
63	0.5453145434
64	0.5441187808
65	0.5432038781
66	0.5417342158
67	0.5402886463
68	0.5389563577
69	0.5382419162
70	0.5364244249
71	0.5350548817
72	0.5338685331
73	0.5321179217
74	0.53071273
75	0.5295364648
76	0.5285759641
77	0.5271820604
78	0.5257964106
79	0.5252457557
80	0.524542736
81	0.523624264
82	0.5222950539
83	0.5214905767
84	0.5203969855
85	0.5190797326
86	0.518190172
87	0.5166783026
88	0.5154537625
89	0.5145039698
90	0.5135936626
91	0.5123002794
92	0.5115397939
93	0.5101047984
94	0.5092810023
95	0.5084549753
96	0.5076710662
97	0.5065749765
98	0.5057411417
99	0.5048754508
100	0.5045129876
101	0.5034997951
102	0.5020644428
103	0.5014184428
104	0.5003175791
105	0.4995273345
106	0.4988713404
107	0.4982289989
108	0.49795559
109	0.497228879
110	0.4963601096
111	0.4955503676
112	0.4949770922
113	0.4942272699
114	0.493239241
115	0.4921949955
116	0.4911295573
117	0.4905725223
118	0.4898266262
119	0.4888189662
120	0.4882630465
121	0.4873196786
122	0.4862844902
123	0.4855287786
124	0.4847144411
125	0.4841192591
126	0.4834238688
127	0.4827285677
128	0.4821445398
129	0.4820848432
