iter	Passed	Remaining
0	96	96664
1	99	49747
2	102	34072
3	105	26210
4	106	21211
5	107	17888
6	110	15628
7	113	14039
8	115	12718
9	117	11593
10	119	10699
11	121	9966
12	123	9365
13	125	8826
14	126	8330
15	127	7861
16	128	7450
17	130	7129
18	132	6829
19	133	6555
20	135	6317
21	136	6086
22	138	5882
23	140	5708
24	142	5539
25	143	5388
26	145	5242
27	147	5121
28	148	4979
29	150	4873
30	152	4770
31	154	4667
32	156	4573
33	157	4485
34	159	4407
35	161	4328
36	163	4250
37	164	4173
38	166	4103
39	168	4039
40	170	3978
41	171	3920
42	173	3859
43	174	3801
44	176	3745
45	178	3699
46	180	3658
47	182	3616
48	183	3570
49	185	3528
50	187	3484
51	188	3443
52	190	3404
53	192	3369
54	193	3331
55	195	3293
56	197	3262
57	198	3230
58	200	3198
59	202	3165
60	203	3136
61	205	3109
62	207	3084
63	209	3061
64	210	3034
65	212	3006
66	214	2984
67	215	2956
68	217	2937
69	219	2922
70	222	2906
71	224	2890
72	226	2875
73	228	2857
74	230	2839
75	232	2821
76	234	2805
77	235	2786
78	237	2770
79	238	2744
80	240	2724
81	241	2709
82	243	2690
83	245	2671
84	246	2656
85	248	2639
86	250	2623
87	251	2608
88	253	2596
89	255	2583
90	257	2570
91	259	2560
92	261	2552
93	263	2542
94	265	2532
95	268	2525
96	270	2518
97	272	2508
98	274	2500
99	276	2492
100	278	2479
101	280	2468
102	282	2458
103	284	2448
104	285	2437
105	287	2427
106	289	2418
107	291	2411
108	293	2398
109	295	2390
110	297	2379
111	298	2368
112	300	2356
113	302	2348
114	303	2338
115	305	2328
116	307	2318
117	308	2307
118	310	2298
119	312	2289
120	314	2281
121	315	2272
122	317	2264
123	319	2255
124	321	2248
125	322	2238
126	324	2228
127	325	2218
128	327	2207
129	327	2193
130	329	2185
131	331	2176
132	332	2169
133	334	2161
134	336	2154
135	337	2146
136	339	2138
137	341	2131
138	342	2124
139	344	2116
140	346	2108
141	347	2100
142	349	2093
143	350	2085
144	352	2079
145	354	2072
146	356	2066
147	358	2060
148	359	2053
149	361	2047
150	362	2040
151	364	2034
152	366	2029
153	368	2022
154	370	2017
155	371	2012
156	373	2005
157	375	1999
158	376	1993
159	378	1987
160	380	1983
161	382	1980
162	384	1975
163	386	1971
164	388	1966
165	390	1961
166	392	1958
167	394	1955
168	395	1945
169	397	1941
170	399	1937
171	401	1933
172	403	1929
173	405	1923
174	407	1918
175	408	1914
176	410	1908
177	412	1904
